mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,Model,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_model__learning_rate,param_model__subsample,param_model__C,param_model__epsilon,param_model__gamma,param_model__kernel
0.06255540847778321,0.01364340318965637,0.019502425193786622,0.004285912524831264,0.1,auto,"{'model__alpha': 0.1, 'model__solver': 'auto'}",-0.11863920162371507,-0.15620022553206367,-0.128201790764662,-0.12991354437208155,-0.11849637932329145,-0.10548731050900889,-0.10871465999363462,-0.13244098163922316,-0.09487168043489289,-0.10655603445606449,-0.11995218086486378,0.016688383912714932,8,Ridge,,,,,,,,,,,
0.05685720443725586,0.011790400436772784,0.01880948543548584,0.0029334682655364026,0.15336077187700115,auto,"{'model__alpha': 0.15336077187700115, 'model__solver': 'auto'}",-0.11869352535400782,-0.15607420704860586,-0.12816612855434,-0.12982600863063354,-0.11735525129617946,-0.1054638260381797,-0.10862611513761751,-0.1321857369251664,-0.09477936574298082,-0.10644846755720382,-0.1197618632284915,0.01667813303233728,7,Ridge,,,,,,,,,,,
0.04649221897125244,0.005372086503415203,0.0142836332321167,0.00100035384013564,0.23519526350709588,auto,"{'model__alpha': 0.23519526350709588, 'model__solver': 'auto'}",-0.1187760951688456,-0.15588764058433593,-0.12811638312469453,-0.12971340493267583,-0.11585165051333118,-0.1054311115496417,-0.10849649001908371,-0.1318132339160128,-0.09464904287476149,-0.10629292185501171,-0.11950279745383945,0.01667055507911051,6,Ridge,,,,,,,,,,,
0.037656760215759276,0.0019231916846482585,0.015131735801696777,0.0029981568362761448,0.3606972715326291,auto,"{'model__alpha': 0.3606972715326291, 'model__solver': 'auto'}",-0.11890045887239148,-0.15561638588808374,-0.1280501506146657,-0.12958344824383944,-0.11399530074017723,-0.10538741430456053,-0.10831141687552318,-0.131281434162293,-0.09447160837415518,-0.10607363959087046,-0.119167125766656,0.016669033097533193,5,Ridge,,,,,,,,,,,
0.04636647701263428,0.008225725255041278,0.015244007110595703,0.00129363076751381,0.5531681197617228,auto,"{'model__alpha': 0.5531681197617228, 'model__solver': 'auto'}",-0.1190847272052572,-0.15523220113851866,-0.12796771563656886,-0.12946171593353317,-0.11188893657444447,-0.10533230334253622,-0.10805688034839457,-0.1305444299492778,-0.09424144748405697,-0.10577493685635947,-0.11875852944689473,0.0166743846217405,4,Ridge,,,,,,,,,,,
0.041804933547973634,0.004352665756412146,0.016599416732788086,0.0016581355492583038,0.8483428982440722,auto,"{'model__alpha': 0.8483428982440722, 'model__solver': 'auto'}",-0.11935042268258629,-0.15470753155087366,-0.12787454411024937,-0.12939994175256053,-0.10973282363927726,-0.1052681480919978,-0.10772527941760988,-0.12956186552095195,-0.09396096562971619,-0.10538629218425684,-0.11829678145800797,0.016680901320560815,3,Ridge,,,,,,,,,,,
0.04608047008514404,0.003811321628006423,0.015264749526977539,0.0015859356859339844,1.3010252169108316,auto,"{'model__alpha': 1.3010252169108316, 'model__solver': 'auto'}",-0.11971792834801016,-0.15402452015859502,-0.127782798632654,-0.1294750203144573,-0.10777104031468772,-0.10520219375893135,-0.10732478656537246,-0.12831423490726396,-0.09364474240717671,-0.10491067943488384,-0.11781679448420324,0.016676417174722815,2,Ridge,,,,,,,,,,,
0.039962148666381835,0.003312893275527811,0.011785745620727539,0.002657248937522038,1.9952623149688795,auto,"{'model__alpha': 1.9952623149688795, 'model__solver': 'auto'}",-0.12019769107742191,-0.1531863681565602,-0.1277092932682244,-0.12976985117650802,-0.1062018695535422,-0.10514964685922788,-0.10688825536098837,-0.1268203414451167,-0.09332015017016926,-0.10437472765365763,-0.11736181947214167,0.016649255727765024,1,Ridge,,,,,,,,,,,
0.045447373390197755,0.003653061267676008,0.014309239387512208,0.0013088157273814078,0.0001,,{'model__alpha': 0.0001},-0.11824500607168871,-0.15480971004785044,-0.12732539223775682,-0.12890285283356526,-0.11621418414522477,-0.10499313567734397,-0.10794411413376813,-0.12871333108742045,-0.09288782675366586,-0.10504845781038798,-0.11850840107986724,0.01656771818043149,5,Lasso,,,,,,,,,,,
0.04363257884979248,0.003638027018929521,0.012704586982727051,0.004167841367815886,0.00017782794100389227,,{'model__alpha': 0.00017782794100389227},-0.11851136606204744,-0.15357534770716924,-0.12730281730871248,-0.12868318996966577,-0.11324015896148651,-0.10500950209580927,-0.10732166795295026,-0.1271807692355299,-0.09219390689159236,-0.10387195577654204,-0.11768906819615052,0.016495003874961032,4,Lasso,,,,,,,,,,,
0.04232189655303955,0.0021019178580674886,0.014597225189208984,0.0012837726346325736,0.00031622776601683794,,{'model__alpha': 0.00031622776601683794},-0.11948673323678044,-0.15169817536637373,-0.1273892838261554,-0.12947875688416066,-0.10907090739782843,-0.10437044978226444,-0.10645406929661205,-0.12470448292604755,-0.09200408291430665,-0.10236304510279742,-0.11670199867333268,0.01644659186338043,2,Lasso,,,,,,,,,,,
0.0446779727935791,0.0022093983261964856,0.013693881034851075,0.0010646941329805555,0.0005623413251903491,,{'model__alpha': 0.0005623413251903491},-0.12180943835983855,-0.14975445670707424,-0.12696038673858226,-0.13247004333217244,-0.10433622538769546,-0.10448624220430511,-0.10627427861810118,-0.12055602533612451,-0.09193149632688535,-0.10146740882113027,-0.11600460018319095,0.016549777854502398,1,Lasso,,,,,,,,,,,
